annotation,b_number,complex,gene_name,n_copies
nucleoid occlusion factor SlmA,b3641,CPLX0-7922,yicb,2.0
"2,3-diaminopropionate ammonia-lyase",b2871,CPLX0-1401,ygex,2.0
NADH dehydrogenase (quinone),[],NQOR-CPLX,nqor,2.0
ribosomal protein S6 modification protein,b0852,CPLX0-7946,nek,4.0
"enamine/imine deaminase, redox-regulated chaperone",b4243,CPLX0-1881,rida,3.0
phosphoadenosine phosphosulfate reductase,b2762,PAPSSULFOTRANS-CPLX,cysh,2.0
cell division factor ZapD,b0102,CPLX0-7973,zapd,2.0
FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase,b0935,CPLX0-225,ycbn,4.0
phosphoenolpyruvate synthetase,b1702,PEPSYNTH-CPLX,pps,2.0
lipopolysaccharide transport system,b0641,CPLX0-7992,lpte,1.0
lipopolysaccharide transport system,b0054,CPLX0-7992,lptd,1.0
lipopolysaccharide transport system,b4262,CPLX0-7992,lptg,1.0
lipopolysaccharide transport system,b3199,CPLX0-7992,lptc,1.0
lipopolysaccharide transport system,b3200,CPLX0-7992,lpta,1.0
lipopolysaccharide transport system,b3201,CPLX0-7992,lptb,2.0
lipopolysaccharide transport system,b4261,CPLX0-7992,lptf,1.0
dimer of DNA topoisomerase IV subunit A,b3019,CPLX0-2423,parc,2.0
ethanol dehydrogenase / alcohol dehydrogenase,b1478,CPLX0-8015,yddn,4.0
DNA-binding transcriptional dual regulator ModE,b0761,CPLX0-2541,mode,2.0
fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,b1014,PUTA-CPLX,putc,2.0
peptide antibiotic transporter,b0377,CPLX0-8097,sbma,2.0
peptidase D,b0237,CPLX0-3001,pepd,2.0
resolvasome,b1863,RUVABC-CPLX,ruvc,2.0
resolvasome,b1860,RUVABC-CPLX,ruvb,12.0
resolvasome,b1861,RUVABC-CPLX,ruva,4.0
putative PTS enzyme II FryBCA,b2386,CPLX0-8119,ypdg,1.0
putative PTS enzyme II FryBCA,b2387,CPLX0-8119,ypdh,1.0
putative PTS enzyme II FryBCA,b2383,CPLX0-8119,frya,1.0
peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,b2328,CPLX0-3201,mepa,2.0
aminopeptidase B,b2523,CPLX0-8122,yfhi,6.0
DnaA initiator-associating factor for replication initiation,b3149,CPLX0-3221,yrao,4.0
molybdopterin-synthase adenylyltransferase,b0826,CPLX0-8164,chln,2.0
ribonuclease BN,b2268,CPLX0-3601,rnz,2.0
multidrug efflux pump MdtABC-TolC,b3035,TRANS-CPLX-202,weea,3.0
multidrug efflux pump MdtABC-TolC,b2076,TRANS-CPLX-202,mdtc,1.0
multidrug efflux pump MdtABC-TolC,b2075,TRANS-CPLX-202,mdtb,2.0
multidrug efflux pump MdtABC-TolC,b2074,TRANS-CPLX-202,mdta,1.0
periplasmic serine endoprotease,b3234,CPLX0-8187,hhoa,12.0
HypA-HypB heterodimer,b2726,CPLX0-3821,hypa,1.0
HypA-HypB heterodimer,b2727,CPLX0-3821,hydb,1.0
uracil phosphoribosyltransferase,b2498,URACIL-PRIBOSYLTRANS-CPLX,urap,3.0
S6:S18 ribosomal subunit complex,b4202,CPLX0-8208,rpsr,1.0
S6:S18 ribosomal subunit complex,b4200,CPLX0-8208,sdgh,1.0
GroEL-GroES chaperonin complex,b4143,CPLX0-3934,grol,14.0
GroEL-GroES chaperonin complex,b4142,CPLX0-3934,groes,14.0
pseudouridine-5'-phosphate glycosidase,b2165,CPLX0-8233,psug,3.0
<I>Eco</I>KI restriction-modification system,b4349,CPLX0-3958,hsp,2.0
<I>Eco</I>KI restriction-modification system,b4350,CPLX0-3958,hsr,2.0
<I>Eco</I>KI restriction-modification system,b4348,CPLX0-3958,hss,1.0
2-amino-6-<i>N</i>-hydroxylaminopurine resistance protein,b3910,CPLX0-8259,yiim,2.0
tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,b3606,CPLX0-7421,trml,2.0
&beta;-ketoacyl-[acyl carrier protein] synthase II,b1095,3-OXOACYL-ACP-SYNTHII-CPLX,vtr,2.0
OmpR dimer,b3405,CPLX0-8285,ompr,2.0
polysaccharide export complex,b2062,CPLX0-7529,wza,8.0
polysaccharide export complex,b2060,CPLX0-7529,wzc,4.0
Ni(2+) ABC transporter,b3479,ABC-20-CPLX,nikd,1.0
Ni(2+) ABC transporter,b3480,ABC-20-CPLX,nike,1.0
Ni(2+) ABC transporter,b3477,ABC-20-CPLX,nikb,1.0
Ni(2+) ABC transporter,b3478,ABC-20-CPLX,nikc,1.0
Ni(2+) ABC transporter,b3476,ABC-20-CPLX,nika,1.0
MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor,b2783,CPLX0-841,maze,2.0
ATP phosphoribosyltransferase,b2019,CPLX0-7614,hisg,2.0
L-arginine ABC transporter,b0860,ABC-4-CPLX,artj,1.0
L-arginine ABC transporter,b0862,ABC-4-CPLX,artq,1.0
L-arginine ABC transporter,b0861,ABC-4-CPLX,artm,1.0
L-arginine ABC transporter,b0864,ABC-4-CPLX,artp,2.0
D-alanine&mdash;D-alanine ligase B,b0092,DALADALALIGB-CPLX,ddl,2.0
Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter,b3915,CPLX0-7641,yiip,2.0
"putative D,D-dipeptide ABC transporter",b1486,ABC-59-CPLX,ddpb,1.0
"putative D,D-dipeptide ABC transporter",b1485,ABC-59-CPLX,ddpc,1.0
"putative D,D-dipeptide ABC transporter",b1487,ABC-59-CPLX,ddpa,1.0
"putative D,D-dipeptide ABC transporter",b1484,ABC-59-CPLX,ddpd,1.0
"putative D,D-dipeptide ABC transporter",b1483,ABC-59-CPLX,ddpf,1.0
dihydroxy-acid dehydratase,b3771,DIHYDROXYACIDDEHYDRAT-CPLX,ilvd,2.0
&beta;-D-glucuronidase,b1617,CPLX0-7662,gusa,4.0
acetyl-CoA carboxyltransferase,b0185,ACETYL-COA-CARBOXYLTRANSFER-CPLX,acca,2.0
acetyl-CoA carboxyltransferase,b2316,ACETYL-COA-CARBOXYLTRANSFER-CPLX,usg,2.0
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,ENTA-CPLX,enta,4.0
succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD,b2661,CPLX0-7688,gabd,4.0
agmatinase,b2937,AGMATIN-CPLX,speb,2.0
flagellar motor complex,b1946,FLAGELLAR-MOTOR-COMPLEX,motd,1.0
flagellar motor complex,b1945,FLAGELLAR-MOTOR-COMPLEX,flaa,34.0
flagellar motor complex,b1939,FLAGELLAR-MOTOR-COMPLEX,flig,26.0
flagellar motor complex,b1079,FLAGELLAR-MOTOR-COMPLEX,flay,1.0
flagellar motor complex,b1890,FLAGELLAR-MOTOR-COMPLEX,flaj,1.0
flagellar motor complex,b1890,FLAGELLAR-MOTOR-COMPLEX,flaj,1.0
flagellar motor complex,b1073,FLAGELLAR-MOTOR-COMPLEX,flba,1.0
flagellar motor complex,b1074,FLAGELLAR-MOTOR-COMPLEX,flaw,1.0
flagellar motor complex,b1077,FLAGELLAR-MOTOR-COMPLEX,flax,1.0
flagellar motor complex,b1078,FLAGELLAR-MOTOR-COMPLEX,flal,1.0
flagellar motor complex,b1080,FLAGELLAR-MOTOR-COMPLEX,flam,1.0
flagellar motor complex,b1938,FLAGELLAR-MOTOR-COMPLEX,flif,1.0
flagellar motor complex,b1937,FLAGELLAR-MOTOR-COMPLEX,fla,1.0
flagellar motor complex,b1944,FLAGELLAR-MOTOR-COMPLEX,flil,2.0
GDP-mannose mannosyl hydrolase,b2051,CPLX0-7712,gmm,2.0
cytochrome <i>bd</i>-II ubiquinol oxidase,b0978,APP-UBIOX-CPLX,cyxa,1.0
cytochrome <i>bd</i>-II ubiquinol oxidase,b0979,APP-UBIOX-CPLX,cyxb,1.0
galactoside <i>O</i>-acetyltransferase,b0342,GALACTOACETYLTRAN-CPLX,laca,3.0
DNA-binding transcriptional dual regulator AsnC,b3743,CPLX0-7733,asnc,2.0
aspartate carbamoyltransferase catalytic subunit,b4245,ASPCARBCAT-TRIMER,pyrb,3.0
glutathione reductase,b3500,GLUTATHIONE-REDUCT-NADPH-CPLX,gora,2.0
"fructose 1,6-bisphosphatase YggF",b2930,CPLX0-7776,yggk,2.0
"ribonucleoside-diphosphate reductase 1, &beta; subunit dimer",b2748,B2-CPLX,ftsb,2.0
GMP synthetase,b2507,GMP-SYN-CPLX,guaa,2.0
protoporphyrinogen oxidase,b3850,CPLX0-7811,yihb,4.0
"citrate lyase, citrate-acyl carrier protein transferase component",b0615,CITTRANS-CPLX,ybdv,6.0
hydrogenase 3,b2722,HYDROG3-CPLX,hevd,1.0
hydrogenase 3,b2723,HYDROG3-CPLX,hevc,1.0
hydrogenase 3,b2720,HYDROG3-CPLX,hevf,1.0
hydrogenase 3,b2719,HYDROG3-CPLX,hevg,1.0
hydrogenase 3,b2724,HYDROG3-CPLX,hevb,1.0
hydrogenase 3,b2721,HYDROG3-CPLX,heve,1.0
"sulfite reductase, flavoprotein subunit complex",b2764,CPLX0-7841,cysj,8.0
galactosamine-specific PTS enzyme II (cryptic),b3138,CPLX-170,agab,1.0
galactosamine-specific PTS enzyme II (cryptic),b3139,CPLX-170,agac,1.0
galactosamine-specific PTS enzyme II (cryptic),b3140,CPLX-170,yraf,1.0
lysine decarboxylase 1,b4131,LYSDECARBOX-CPLX,ldci,10.0
glutamate&mdash;pyruvate aminotransferase AlaA,b2290,CPLX0-7888,yfbq,2.0
23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase,b4180,CPLX0-1121,rlmb,2.0
Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,b1564,CPLX0-7928,relb,4.0
RNA-binding protein Hfq,b4172,CPLX0-1461,hfq,6.0
"ribonucleoside-diphosphate reductase 2, &beta; subunit dimer",b2676,NRDF-CPLX,ygad,2.0
2-hydroxypentadienoate hydratase,b0350,CPLX0-7951,mhps,5.0
ferric enterobactin outer membrane transport complex,b3005,CPLX0-1941,exbd,1.0
ferric enterobactin outer membrane transport complex,b3006,CPLX0-1941,exbb,1.0
ferric enterobactin outer membrane transport complex,b1252,CPLX0-1941,exba,1.0
ferric enterobactin outer membrane transport complex,b0584,CPLX0-1941,fepa,1.0
DNA-binding transcriptional dual regulator ArgR,b3237,PC00005,argr,6.0
translocation and assembly module,b4221,CPLX0-7976,tamb,1.0
translocation and assembly module,b4220,CPLX0-7976,tama,1.0
isocitrate dehydrogenase kinase,b4016,CPLX0-230,acek,2.0
phenylalanine&mdash;tRNA ligase,b1714,PHES-CPLX,phes,2.0
phenylalanine&mdash;tRNA ligase,b1713,PHES-CPLX,phet,2.0
diaminopimelate epimerase,b3809,CPLX0-7997,dapf,2.0
inorganic pyrophosphatase,b4226,CPLX0-243,ppa,6.0
nitrogen regulatory protein PII-1,b2553,PIIPROTEIN-CPLX,glnb,3.0
acetyl-CoA:oxalate CoA-transferase,b2371,CPLX0-8032,yfde,2.0
protein HokC,b4412,CPLX0-2621,gef,2.0
pyruvate dehydrogenase,b0114,PYRUVATEDEH-CPLX,acee,24.0
pyruvate dehydrogenase,b0115,PYRUVATEDEH-CPLX,acef,24.0
pyruvate dehydrogenase,b0116,PYRUVATEDEH-CPLX,lpd,12.0
methyl-accepting chemotaxis protein - serine-sensing,b4355,CPLX0-8103,ched,2.0
"fructose-1,6-bisphosphatase 2",b3925,CPLX0-303,glpx,2.0
<i>S</i>-adenosylmethionine decarboxylase,[],SAMDECARB-CPLX,speda,4.0
<i>S</i>-adenosylmethionine decarboxylase,[],SAMDECARB-CPLX,spedb,4.0
cellulose synthase,b3532,CPLX0-8125,bcsb,1.0
cellulose synthase,b3533,CPLX0-8125,yhjo,1.0
DNA replication inhibitor,b0880,CPLX0-3301,ybja,2.0
twin arginine protein translocation system,b3838,TATABCE-CPLX,tatb,1.0
twin arginine protein translocation system,b3839,TATABCE-CPLX,tatc,1.0
twin arginine protein translocation system,b0627,TATABCE-CPLX,tate,1.0
twin arginine protein translocation system,b3836,TATABCE-CPLX,tata,1.0
bifunctional sensor histidine kinase PhoQ,b1129,CPLX0-8168,phoq,2.0
&gamma;-aminobutyraldehyde dehydrogenase,b1444,CPLX0-3641,patd,4.0
transaldolase B,b0008,TRANSALDOLB-CPLX,yaak,2.0
tRNA U34 carboxymethyltransferase,b1871,CPLX0-8190,yecp,4.0
GDP-L-fucose synthase,b2052,CPLX0-3881,yefb,2.0
xanthosine phosphorylase,b2407,XANTHOSINEPHOSPHORY-CPLX,pnda,6.0
erythronate-4-phosphate dehydrogenase,b2320,CPLX0-8212,pdxb,2.0
copper binding protein CutA,b4137,CPLX0-3938,cuta,3.0
putative menaquinol-cytochrome <i>c</i> reductase NrfCD,b4073,CPLX0-8238,yjck,1.0
putative menaquinol-cytochrome <i>c</i> reductase NrfCD,b4072,CPLX0-8238,yjcj,1.0
ferritin iron-storage complex,b1905,CPLX0-3969,rsga,24.0
nucleotide 5'-monophosphate nucleosidase,b2795,CPLX0-8262,ppnn,4.0
HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,b1508,CPLX0-7425,hipb,2.0
HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,b1507,CPLX0-7425,hipa,1.0
"6-phosphogluconate dehydrogenase, decarboxylating",b2029,6PGLUCONDEHYDROG-CPLX,gnd,2.0
Tsr<SUP>glu</SUP>,b1887,TSR-GLU,purine-binding chemotaxis protein,2.0
Tsr<SUP>glu</SUP>,b1888,TSR-GLU,chea,2.0
Tsr<SUP>glu</SUP>,b4355,TSR-GLU,ched,12.0
heme chaperone HemW,b2955,CPLX0-8291,hemw,2.0
outer membrane porin C,b2215,CPLX0-7533,par,3.0
sensor histidine kinase DcuS,b4125,CPLX0-8307,yjdh,2.0
cryptic phosphonate/phosphate ABC transporter,b4106,ABC-23-CPLX,phnc,2.0
cryptic phosphonate/phosphate ABC transporter,b4105,ABC-23-CPLX,phnd,1.0
tRNA adenosine<sup>34</sup> deaminase,b2559,CPLX0-901,tada,2.0
AtoS-<i>N</i>-phospho-L-histidine,b2219,PHOSPHO-ATOS,atos,2.0
iron-sulfur cluster insertion protein ErpA,b0156,CPLX0-7617,yadr,2.0
EnvZ-<i>N</i>-phospho-L-histidine,b3404,PHOSPHO-ENVZ,tpo,2.0
D-allose ABC transporter,b4087,ABC-42-CPLX,alsa,1.0
D-allose ABC transporter,b4086,ABC-42-CPLX,alsc,2.0
D-allose ABC transporter,b4088,ABC-42-CPLX,alsb,1.0
PhoR-<i>N</i>-phospho-L-histidine,b0400,PHOSPHO-PHOR,nmpb,2.0
dCTP deaminase,b2065,DCTP-DEAM-CPLX,dus,3.0
oxidized flavorubredoxin,b2710,CPLX0-2,ygak,4.0
L-fucose mutarotase,b2804,CPLX0-7645,fucu,6.0
"putative transport complex, ABC superfamily",b0496,ABC-61-CPLX,ybbp,1.0
"putative transport complex, ABC superfamily",b0495,ABC-61-CPLX,ybba,1.0
nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase,b1991,DMBPPRIBOSYLTRANS-CPLX,cobt,2.0
putative oxidoreductase YdjA,b1765,CPLX0-7668,ydja,2.0
<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,b3359,ACETYLORNTRANSAM-CPLX,dtu,2.0
Tap<SUP>gln</SUP>,b1888,TAP-GLN,chea,2.0
Tap<SUP>gln</SUP>,b1887,TAP-GLN,purine-binding chemotaxis protein,2.0
Tap<SUP>gln</SUP>,b1885,TAP-GLN,tap,12.0
sensor histidine kinase EnvZ,b3404,ENVZ-CPLX,tpo,2.0
FMN dependent NADH:quinone oxidoreductase,b1412,CPLX0-7693,azor,2.0
isocitrate dehydrogenase-P,b1136,ISOCITHASE-P,icde,2.0
alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,b2697,ALAS-CPLX,alas,2.0
dihydroneopterin triphosphate 2'-epimerase,b2303,FOLXTET-CPLX,folx,8.0
UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,b2255,CPLX0-7718,arna,6.0
"arginine decarboxylase, biosynthetic",b2938,ARGDECARBOXBIO-CPLX,spea,4.0
glycine cleavage system,b0116,GCVMULTI-CPLX,lpd,2.0
glycine cleavage system,b2903,GCVMULTI-CPLX,gcvp,2.0
glycine cleavage system,b2904,GCVMULTI-CPLX,gcv,1.0
glycine cleavage system,b2905,GCVMULTI-CPLX,gcvt,1.0
methylmalonyl-CoA mutase,b2917,CPLX0-7741,ylik,2.0
Tar<SUP>gln</SUP>,b1888,TAR-GLN,chea,2.0
Tar<SUP>gln</SUP>,b1887,TAR-GLN,purine-binding chemotaxis protein,2.0
Tar<SUP>gln</SUP>,b1886,TAR-GLN,tar,12.0
fused aspartate kinase/homoserine dehydrogenase 1,b0002,ASPKINIHOMOSERDEHYDROGI-CPLX,thrd,4.0
&beta;-glucoside specific PTS enzyme II - cys24 phosphorylated,b3722,CPLX0-8115,bgls,2.0
glutamate decarboxylase B,b1493,GLUTDECARBOXB-CPLX,gadb,6.0
macrodomain Ter protein,b0956,CPLX0-7789,ycbg,2.0
&beta;-galactosidase,b0344,BETAGALACTOSID-CPLX,lacz,4.0
fused glutathionylspermidine amidase / glutathionylspermidine synthetase,b2988,GSP-CPLX,gsp,2.0
sensory histidine kinase NarQ  - phosphorylated,b2469,PHOSPHO-NARQ,nitrate/nitrite sensor kinase,2.0
K<sup>+</sup> : H<sup>+</sup> antiporter KefC,b0047,CPLX0-7819,trkc,2.0
NtrC-Phosphorylated DNA-binding transcriptional dual regulator,[],PROTEIN-NRIP,monomer0,8.0
&beta;-glucoside specific PTS enzyme II,b2716,CPLX-153,sac,2.0
Trg<SUP>gln</SUP>,b1888,TRG-GLN,chea,2.0
Trg<SUP>gln</SUP>,b1887,TRG-GLN,purine-binding chemotaxis protein,2.0
Trg<SUP>gln</SUP>,b1421,TRG-GLN,mcp-iii,12.0
imidazoleglycerol-phosphate dehydratase,b2022,IMIDHISTID-CPLX,hisb,2.0
4-hydroxythreonine-4-phosphate dehydrogenase,b0052,CPLX0-7847,pdxa,2.0
sensory histidine kinase TorS - asp723 phosphorylated,b0993,CPLX0-8267,ycci,2.0
FecAR Signal Transduction System,b4291,CPLX-3944,feca,1.0
FecAR Signal Transduction System,b4292,CPLX-3944,fecr,1.0
L-xylulose kinase,b3580,LYXK-CPLX,xylk,2.0
L-carnitine:&gamma;-butyrobetaine antiporter,b0040,CPLX0-7906,yaap,3.0
HslU hexamer,b3931,CPLX0-1161,htpi,6.0
"NAD synthetase, NH<sub>3</sub>-dependent",b1740,NAD-SYNTH-CPLX,efg,2.0
putative carbamoyltransferase YgeW,b2870,CPLX0-7933,ygew,3.0
activated pyruvate-formate lyase,b0903,PYRUVFORMLY-CPLX,pfl,2.0
selenate reductase,b1587,CPLX0-1601,ynfe,1.0
selenate reductase,b1588,CPLX0-1601,ynff,1.0
selenate reductase,b1589,CPLX0-1601,ynfg,1.0
selenate reductase,b1590,CPLX0-1601,ynfh,1.0
Tsr<SUP>gln</SUP>,b1887,TSR-GLN,purine-binding chemotaxis protein,2.0
Tsr<SUP>gln</SUP>,b1888,TSR-GLN,chea,2.0
Tsr<SUP>gln</SUP>,b4355,TSR-GLN,ched,12.0
<i>O</i>-succinylhomoserine(thiol)-lyase,b3939,O-SUCCHOMOSERLYASE-CPLX,metb,4.0
carbon storage regulator,b2696,CPLX0-7956,zfia,2.0
CheA(L) - phosphorylated,b1888,CPLX0-8274,chea,2.0
3-hydroxy acid dehydrogenase,b1539,CPLX0-1962,ydfg,4.0
oxidized ribonucleoside-triphosphate reductase,b4238,MONOMER0-2863,nrdd,2.0
DNA-binding transcriptional dual regulator IHF,b1712,PC00027,ihfa,1.0
DNA-binding transcriptional dual regulator IHF,b0912,PC00027,ihfb,1.0
miniconductance mechanosensitive channel YbdG,b0577,CPLX0-7981,ybdg,7.0
PhoQ-<i>N</i>-phospho-L-histidine,b1129,PHOSPHO-PHOQ,phoq,2.0
glyoxylate reductase,b3553,CPLX0-235,tkra,2.0
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",b0755,PHOSGLYCMUTASE,gpm,2.0
3-oxoacyl-[acyl-carrier-protein] reductase FabG,b3256,CPLX0-8005,fabg,4.0
protein sulfenic acid reductase DsbG<sub>reduced</sub>,b0604,CPLX-9344,dsbg,2.0
alkyl hydroperoxide reductase,b0605,CPLX0-245,tpx,10.0
alkyl hydroperoxide reductase,b0606,CPLX0-245,ahpf,2.0
<i>holo</i>-EntB dimer,[],ENTB-CPLX,holo,2.0
porphobilinogen synthase,b0369,PORPHOBILSYNTH-CPLX,ncf,8.0
DNA-binding transcriptional repressor LsrR,b1512,CPLX0-8043,lsrr,4.0
McrBC restriction endonuclease,b4346,CPLX0-2661,rglb,1.0
McrBC restriction endonuclease,b4345,CPLX0-2661,mcrc,1.0
quinolinate phosphoribosyltransferase (decarboxylating),b0109,QUINOPRIBOTRANS-CPLX,nadc,2.0
BglG - his101 phosphorylated,b3723,CPLX0-7657,bglc,2.0
nucleoside triphosphate pyrophosphatase YhdE,b3248,CPLX0-8106,yhde,2.0
Xaa-Pro aminopeptidase,b2908,CPLX0-3081,pepp,4.0
sensory histidine kinase KdpD - phosphorylated,b0695,PHOSPHO-KDPD,kdpd,2.0
SecYEG translocon,b3981,SECE-G-Y-CPLX,sece,1.0
SecYEG translocon,b3175,SECE-G-Y-CPLX,secg,1.0
SecYEG translocon,b3300,SECE-G-Y-CPLX,secy,1.0
TorR-Phosphorylated DNA-binding transcriptional dual regulator,b0995,PHOSPHO-TORR,torr,2.0
sorbitol-6-phosphate 2-dehydrogenase,b2705,SORB6PDEHYDROG-CPLX,gutd,4.0
Tap<SUP>glu-Me</SUP>,b1888,TAP-GLUME,chea,2.0
Tap<SUP>glu-Me</SUP>,b1887,TAP-GLUME,purine-binding chemotaxis protein,2.0
Tap<SUP>glu-Me</SUP>,b1885,TAP-GLUME,tap,12.0
DLP12 prophage; DNA base-flipping protein,b0547,CPLX0-8129,ybcn,2.0
citrate lyase,b0617,ACECITLY-CPLX,ybdx,6.0
citrate lyase,b0615,ACECITLY-CPLX,ybdv,6.0
citrate lyase,b0616,ACECITLY-CPLX,ybdw,6.0
Type II secretion system,b3324,CPLX0-3382,yhee,1.0
Type II secretion system,b3325,CPLX0-3382,yhef,1.0
Type II secretion system,b3326,CPLX0-3382,yheg,1.0
Type II secretion system,b3327,CPLX0-3382,hopf,1.0
Type II secretion system,b3328,CPLX0-3382,hopg,1.0
Type II secretion system,b3329,CPLX0-3382,hoph,1.0
Type II secretion system,b3330,CPLX0-3382,yheh,1.0
Type II secretion system,b3331,CPLX0-3382,yhei,1.0
Type II secretion system,b3332,CPLX0-3382,yhej,1.0
Type II secretion system,b3333,CPLX0-3382,yhek,1.0
Type II secretion system,b3334,CPLX0-3382,hopz,1.0
Type II secretion system,b3335,CPLX0-3382,yhec,1.0
HypT-[Met-oxidized] DNA-binding transcriptional dual regulator,b4327,CPLX0-8075,hypt,2.0
catabolic threonine dehydratase,b3117,THREDEHYDCAT-CPLX,tdc,4.0
chemotaxis signaling complex - aspartate sensing,b1888,TAR-CPLX,chea,2.0
chemotaxis signaling complex - aspartate sensing,b1887,TAR-CPLX,purine-binding chemotaxis protein,2.0
chemotaxis signaling complex - aspartate sensing,b1886,TAR-CPLX,tar,12.0
sulfurtransferase for molybdenum cofactor sulfuration,b3895,CPLX0-8175,fdhd,2.0
reduced flavorubredoxin,b2710,CPLX0-1,ygak,4.0
ADP-sugar pyrophosphatase,b3034,CPLX0-3721,aspp,2.0
CpxA-<i>N</i>-phospho-L-histidine,b3911,PHOSPHO-CPXA,cpxa,2.0
tryptophan&mdash;tRNA ligase,b3384,TRPS-CPLX,trps,2.0
Z-ring positioning protein MinC,b1176,CPLX0-8196,minb,2.0
sensory histidine kinase NtrB - phosphorylated,b3869,PROTEIN-NRIIP,glnl,2.0
primosome,b4052,CPLX0-3922,grpd,6.0
primosome,b4362,CPLX0-3922,dnat,3.0
primosome,b4201,CPLX0-3922,prib,2.0
primosome,b3935,CPLX0-3922,srga,1.0
primosome,b0467,CPLX0-3922,pric,1.0
primosome,b3066,CPLX0-3922,sdga,1.0
Tar<SUP>glu-Me</SUP>,b1888,TAR-GLUME,chea,2.0
Tar<SUP>glu-Me</SUP>,b1887,TAR-GLUME,purine-binding chemotaxis protein,2.0
Tar<SUP>glu-Me</SUP>,b1886,TAR-GLUME,tar,12.0
free methionine-(<i>R</i>)-sulfoxide reductase,b1832,CPLX0-8217,msrc,2.0
sensory histidine kinase TorS - his443 phosphorylated,b0993,CPLX0-8265,ycci,2.0
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,b1298,CPLX0-3943,ycjl,2.0
RNA polymerase sigma S,b3987,RNAPS-CPLX,stl,1.0
RNA polymerase sigma S,b3988,RNAPS-CPLX,tabb,1.0
RNA polymerase sigma S,b3295,RNAPS-CPLX,sez,2.0
RNA polymerase sigma S,b2741,RNAPS-CPLX,otsx,1.0
intermembrane transport protein PqiB,b0951,CPLX0-8244,pqib,6.0
CreC-<i>N</i>-phospho-L-histidine,b4399,PHOSPHO-CREC,phom,2.0
Enterobacterial Common Antigen Biosynthesis Protein Complex,b2037,CPLX0-3976,wzx,1.0
Enterobacterial Common Antigen Biosynthesis Protein Complex,b4481,CPLX0-3976,rfft,1.0
Enterobacterial Common Antigen Biosynthesis Protein Complex,b2027,CPLX0-3976,wzz,1.0
OmpR-Phosphorylated DNA-binding transcriptional dual regulator,[],PHOSPHO-OMPR,phospho,2.0
DUF892 domain-containing protein YciF,b1258,CPLX0-7444,ycif,2.0
RNA polymerase sigma 28,b1922,CPLX0-222,rpof,1.0
RNA polymerase sigma 28,b3987,CPLX0-222,stl,1.0
RNA polymerase sigma 28,b3988,CPLX0-222,tabb,1.0
RNA polymerase sigma 28,b3295,CPLX0-222,sez,2.0
ferric enterobactin ABC transporter,b0588,ABC-10-CPLX,fepc,2.0
ferric enterobactin ABC transporter,b0590,ABC-10-CPLX,fepd,1.0
ferric enterobactin ABC transporter,b0589,ABC-10-CPLX,fepg,1.0
ferric enterobactin ABC transporter,b0592,ABC-10-CPLX,fepb,1.0
RNA polymerase sigma 70,b3987,RNAP70-CPLX,stl,1.0
RNA polymerase sigma 70,b3988,RNAP70-CPLX,tabb,1.0
RNA polymerase sigma 70,b3295,RNAP70-CPLX,sez,2.0
RNA polymerase sigma 70,b3067,RNAP70-CPLX,alt,1.0
PBP1B&gamma;,[],CPLX0-8300,pbp1b&gamma;,2.0
KdpE-P<sup>asp</sup>-phosphate,[],CPLX0-8272,phospho,2.0
FKBP-type peptidyl-prolyl <i>cis-trans</I> isomerase SlyD,b3349,CPLX0-7536,slyd,2.0
RNA polymerase sigma 54,b3987,RNAP54-CPLX,stl,1.0
RNA polymerase sigma 54,b3988,RNAP54-CPLX,tabb,1.0
RNA polymerase sigma 54,b3295,RNAP54-CPLX,sez,2.0
RNA polymerase sigma 54,b3202,RNAP54-CPLX,ntra,1.0
glycine betaine ABC transporter,b2677,ABC-26-CPLX,prou,2.0
glycine betaine ABC transporter,b2677,ABC-26-CPLX,osra,2.0
glycine betaine ABC transporter,b2677,ABC-26-CPLX,osra,1.0
"citrate lyase, inactive",b0617,CITLY-CPLX,ybdx,6.0
"citrate lyase, inactive",b0615,CITLY-CPLX,ybdv,6.0
"citrate lyase, inactive",b0616,CITLY-CPLX,ybdw,6.0
DNA-binding transcriptional dual regulator PspF,b1303,CPLX0-981,pspf,6.0
RNA polymerase sigma 19,b3987,CPLX0-221,stl,1.0
